author
Walter «Serrano» Abella
Adolfo Agorio
Julio Aguiar
Gustavo Aguilera
Juan Carlos Albarado
Mauricio Almada
Eduardo Alvariza
Fernando Amado
Danilo Antón
Tabaré Arapí
Orestes Araújo
Arturo Ardao
Horacio Arredondo
Hugo David Barbagelata
Washington Benavides
Hebert Benítez Pezzolano
Martín Bentancor
Pedro P. Bermúdez
Washington P. Bermúdez
Francisco Berra
Bernardo Prudencio Berro
Guillermo Bertullo Santillán
César Bianchi
Edmundo Bianchi
Pablo Blanco Acevedo
Roberto Blatt
Samuel Blixen García
Gastón Boero
Domingo Bordoli
Leonardo Borges
Marcelino Horacio Bottaro
Carlos Bouzas
Alberto Brause
Emanuel Bremermann
Tomás Brena
Álvaro Buela
Jorge Burel
José Cándido Bustamante
Carlos Caggiani
Gabriel Calderón (dramaturgo)
Gonzalo Cammarota
Luis Camnitzer
Luis Campodónico
Alfredo Campos
Alberto Candeau
Roberto Canessa
Cornelio Cantera
Juan Capagorry
Federico Capurro
Albert Caraco
Jacinto Carranza
Tarik Carson
Pablo Casacuberta
Enrique Casaravilla Lemos
Horacio Cassinelli Muñoz
Adolfo Castells
Dolores Castillo
Guido Castillo
Julio César Castro
Jorge Chagas
Daniel Chavarría
Guillermo Chifflet
Hiber Conteris
Hugo Cores
Ismael Cortinas (político)
Rómulo Cosse
Ruben Cotelo
Pablo da Silveira
Antonio Dabezies
Pedro Dalton
Andrés Danza
Isidoro de María
Héctor de Souza
Germán Deagosto
Alberto Demicheli
Nelson Di Maggio
Antonio Felipe Díaz
Álvaro Diez de Medina
Joaquín Doldán
Carlos María Domínguez (escritor)
Guillermo Draper
Anacleto Dufort y Álvarez
Andrés Echevarría
Laszlo Erdelyi
Gustavo Escanlar
Francisco Espínola
Jaime Estrázulas
Augusto Fauvety
Eleuterio Fernández Huidobro
Benjamín Fernández y Medina
José María Fernández Saldaña
Julio Fernández Techera
Mario César Fernández
Nelson Fernández
Alfredo Mario Ferreiro
Felipe Ferreiro
Daniel Figares
Pedro Figari
Filomena Grieco y Carlos Rovira
José María Firpo
Diego Fischer
Amaro Flores Sienra
Aureliano Folle
Constante Fontán Illas
Clemente L. Fregeiro
Nicolás Fusco Sansone
José Luis Gadea
Eduardo Galeano
Julio Gallego
Gustavo Gallinal
Alberto Gallo (periodista)
Rodolfo Gambini
Alfredo García (periodista uruguayo)
Serafín J. García
Leonardo Garet
Atilio Garrido
Edgardo Ubaldo Genta
Ricardo Gil Iribarne
Arturo Giménez Pastor
Rafael Gomensoro
Juan Carlos Gómez
Damián González Bertolino
Gustavo González Soto
Sergio Gorzy
Daniel Granada
Antonio Grompone
Héctor Gros Espiell
Ana Grynbaum
Alberto Guani
Eduardo Gudynas
Ernesto Herrera
Bartolomé Hidalgo
Claudio Invernizzi
Sergio Israel
Marcelo Jelen
Diego Jourdan
Antonio Ladra
Jacobo Langsner
Oscar Larroca (artista)
Martín Lasalt
Gustavo Leal
Óscar Lebel
Álvaro Lema Mosca
Rubén Lena
Alfonso Lessa
Carlos Liscano
Miguel Livichich
Marcos Llemes
Guillermo Lockhart
Ruperto Long
Oscar López Goldaracena
Andrés López Reilly
Horacio López Usera
Antonio Lussich
Marcelo Estefanell
Pablo de María
Joaquín Martínez Arboleya
Emilio Martínez Cardona
Carlos Martínez Moreno
Walter Ignacio Martínez
Marynés Casal Muñoz
Leo Maslíah
Rafael Massa
Humberto Megget
Tabaré Melogno
Carlos Mendive
Sebastián Miguez Conde
César Miranda
Gerardo Molina
Jacinto Ventura de Molina
Juan Carlos Mondragón
Víctor Hugo Morales
Orosmán Moratorio
Omar Moreira
Juan Pablo Mosteiro
Ariel Muniz
Daniel Muñoz (político)
Mariella Nigro
Alberto Nin (abogado)
Gerardo Núñez (político)
Juan Oddone
Álvaro Ojeda (escritor)
Tomás Olivera Chirimini
Carlos Oneto y Viana
Domingo Ordoñana
Enrique Ortega Salinas
Martín Otheguy
Melchor Pacheco y Obes
Carlos Páez Rodríguez
Claudio Paolillo
José Parrilla
Ricardo Paseyro
Aurelio Pastori
Luisa Peirano
Fernando Peláez
Darwin Peluffo Beisso
Wilfredo Penco
Ildefonso Pereda Valdés
Gonzalo Perera
Leonardo Pereyra
Luis Pérez Aguirre
José Manuel Pérez Castellano
Emilio Pérez Miguel
Manuel Pérez y Curis
Juan Peyrou
Ubaldo Pino
Salustiano Pintos
Luis Piñeyro del Campo
Antonio Pippo
Francisco Piria
José María Podestá
