fact_id,region,relation,subject,object,expected_answer,tracer_subject,language,variant,kind,layer_idx,layer_max,layer_mean
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,0,0.17650042474269867,0.17650040984153748
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,1,0.17650042474269867,0.17650040984153748
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,2,0.17650042474269867,0.17650040984153748
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,3,0.1863829642534256,0.17874886095523834
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,4,0.18341174721717834,0.1743549108505249
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,5,0.19762501120567322,0.17762529850006104
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,6,0.1884983479976654,0.17671921849250793
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,7,0.19320480525493622,0.1774543970823288
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,8,0.20043472945690155,0.1774619072675705
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,9,0.20510223507881165,0.1777496039867401
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,10,0.1883789598941803,0.1732725352048874
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,11,0.18074628710746765,0.16881024837493896
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp,12,0.19978070259094238,0.17183755338191986
